Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long
201900038590,19,10,2019,9:00,1,57,57240,2,3,2,2,CLEMENCEAU (RUE),49,
201900038591,30,10,2019,22:30,5,56,56121,1,1,2,7,BLUM ( BD LEON ),47,
201900038592,30,10,2019,10:15,1,56,56121,2,6,2,3,SAINT-ARMEL (RPT DE),47,
201900038593,29,10,2019,11:10,1,56,56098,2,3,3,3,KERVELEAN ( ALLEE DE ),47,
201900038594,28,10,2019,15:45,1,56,56121,2,3,1,3,PHILIPPE (RUE  PIERRE ),47,
201900038595,27,10,2019,10:35,1,56,56121,1,1,2,6,RN 465,47,
201900038596,26,10,2019,13:00,1,56,56107,2,1,8,7,VICTOIRE (RUE DE LA),47,
201900038597,28,10,2019,20:00,2,54,54395,2,3,1,1,BATAILLE (QUAI DE LA),48,
201900038598,1,11,2019,1:20,5,53,53034,1,1,8,6,RD 57 VERS LAVAL,48,
201900038599,1,11,2019,16:08,1,51,51573,2,6,2,3,RUE CHARLES BOUCTON,49,
201900038600,31,10,2019,11:50,1,51,51454,2,1,1,2,BOULEVARD LUNDY,49,
201900038601,30,10,2019,14:00,1,51,51454,2,3,1,1,PLACE D'ERLON,49,
201900038602,29,10,2019,16:30,1,50,50602,2,2,2,3,GAMBETTA (RUE),49,
201900038603,1,11,2019,17:15,1,45,45285,2,1,1,2,TANGENTIELLE - D520 PR4+290,47,
201900038604,1,11,2019,19:10,5,45,45234,2,2,8,3,AV R SECRETAIN - R W BAUDIN,47,
